#OBS: Time(MJD) filter ignore flux flux_err mag mag_err
OBS: 55082.3 z NULL  -5.182 32.168 nan -6.740
OBS: 55091.3 z NULL  -12.185 30.947 nan -2.757
OBS: 55094.4 z NULL  -78.566 66.902 nan -0.925
OBS: 55097.3 z NULL  -23.050 31.603 nan -1.489
OBS: 55388.6 z NULL  4.080 29.004 -6.527 7.719
OBS: 55400.6 z NULL  -12.426 49.122 nan -4.292
OBS: 55409.5 z NULL  -5.205 28.866 nan -6.021
OBS: 55412.5 z NULL  -17.295 26.787 nan -1.682
OBS: 55415.6 z NULL  2.136 31.477 -5.824 15.997
OBS: 55424.5 z NULL  -22.482 27.640 nan -1.335
OBS: 55427.5 z NULL  19.848 27.719 -8.244 1.516
OBS: 55436.4 z NULL  1.833 29.792 -5.658 17.643
OBS: 55439.3 z NULL  -22.632 26.850 nan -1.288
OBS: 55442.5 z NULL  46.882 29.174 -9.178 0.676
OBS: 55445.4 z NULL  1.620 27.319 -5.524 18.308
OBS: 55448.4 z NULL  -24.204 27.953 nan -1.254
OBS: 55451.5 z NULL  14.549 28.141 -7.907 2.100
OBS: 55457.3 z NULL  -10.868 28.909 nan -2.888
OBS: 55466.4 z NULL  14.082 27.038 -7.872 2.085
OBS: 55475.2 z NULL  7.082 29.713 -7.125 4.555
OBS: 55478.2 z NULL  -18.475 26.832 nan -1.577
OBS: 55481.2 z NULL  -3.536 27.388 nan -8.409
OBS: 55484.2 z NULL  -18.111 27.942 nan -1.675
OBS: 55496.3 z NULL  -32.429 45.848 nan -1.535
OBS: 55499.2 z NULL  -0.797 30.860 nan -42.040
OBS: 55502.3 z NULL  -46.974 30.684 nan -0.709
OBS: 55508.2 z NULL  -29.803 31.469 nan -1.146
OBS: 55535.2 z NULL  -5.112 27.793 nan -5.903
OBS: 55547.2 z NULL  -20.997 27.831 nan -1.439
OBS: 55739.5 z NULL  -6.404 29.551 nan -5.010
OBS: 55742.6 z NULL  -3.639 26.671 nan -7.957
OBS: 55751.6 z NULL  -20.358 28.075 nan -1.497
OBS: 55754.6 z NULL  7.635 31.219 -7.207 4.439
OBS: 55763.6 z NULL  -37.663 40.462 nan -1.166
OBS: 55769.6 z NULL  -20.180 26.149 nan -1.407
OBS: 55772.5 z NULL  14.865 30.287 -7.930 2.212
OBS: 55775.6 z NULL  -23.638 26.140 nan -1.201
OBS: 55793.6 z NULL  -23.974 29.645 nan -1.343
OBS: 55796.6 z NULL  10.552 28.480 -7.558 2.930
OBS: 55799.3 z NULL  6.091 27.340 -6.962 4.874
OBS: 55802.5 z NULL  5.337 29.940 -6.818 6.090
OBS: 55805.3 z NULL  12.643 30.714 -7.755 2.638
OBS: 55808.3 z NULL  35.515 27.608 -8.876 0.844
OBS: 55811.3 z NULL  -25.181 30.608 nan -1.320
OBS: 55823.3 z NULL  2.344 27.584 -5.925 12.776
OBS: 55827.4 z NULL  -8.812 27.068 nan -3.335
OBS: 55832.3 z NULL  -34.024 36.081 nan -1.151
OBS: 55854.3 z NULL  -22.785 31.693 nan -1.510
OBS: 55857.2 z NULL  13.966 27.179 -7.863 2.113
OBS: 55860.2 z NULL  3.206 26.746 -6.265 9.057
OBS: 55862.2 z NULL  8.015 59.429 -7.260 8.050
OBS: 55891.2 z NULL  19.336 31.003 -8.216 1.741
OBS: 56137.6 z NULL  28499.240 210.120 -16.137 0.008
OBS: 56146.4 z NULL  69271.198 816.772 -17.101 0.013
OBS: 56149.6 z NULL  76668.053 1207.011 -17.212 0.017
OBS: 56155.5 z NULL  76828.933 1684.282 -17.214 0.024
OBS: 56157.4 z NULL  70911.501 291.353 -17.127 0.004
OBS: 56160.5 z NULL  71755.369 576.886 -17.140 0.009
OBS: 56165.4 z NULL  61497.090 729.520 -16.972 0.013
OBS: 56192.3 z NULL  31551.241 401.466 -16.248 0.014
OBS: 56205.4 z NULL  28858.143 937.014 -16.151 0.035
OBS: 56208.4 z NULL  26742.163 390.075 -16.068 0.016
OBS: 56211.3 z NULL  25032.787 426.029 -15.996 0.018
OBS: 56214.2 z NULL  23782.454 109.166 -15.941 0.005
OBS: 56216.2 z NULL  22736.274 128.087 -15.892 0.006
OBS: 56222.2 z NULL  22302.125 347.547 -15.871 0.017
OBS: 56229.3 z NULL  19891.746 90.228 -15.747 0.005
OBS: 56283.2 z NULL  7425.898 43.209 -14.677 0.006
OBS: 56453.5 z NULL  404.815 26.945 -11.518 0.072
OBS: 56456.6 z NULL  264.572 42.100 -11.056 0.173
OBS: 56474.6 z NULL  290.090 26.750 -11.156 0.100
OBS: 56477.5 z NULL  256.775 26.323 -11.024 0.111
OBS: 56480.5 z NULL  211.385 33.069 -10.813 0.170
OBS: 56482.5 z NULL  270.878 33.915 -11.082 0.136
OBS: 56485.6 z NULL  251.828 27.575 -11.003 0.119
OBS: 56488.4 z NULL  245.447 26.343 -10.975 0.117
OBS: 56490.5 z NULL  204.757 26.392 -10.778 0.140
OBS: 56492.5 z NULL  200.721 27.419 -10.756 0.148
OBS: 56506.6 z NULL  173.380 27.890 -10.597 0.175
OBS: 56511.6 z NULL  173.514 31.940 -10.598 0.200
OBS: 56517.4 z NULL  129.123 36.065 -10.278 0.303
OBS: 56519.6 z NULL  151.858 29.442 -10.454 0.211
OBS: 56521.6 z NULL  163.177 27.338 -10.532 0.182
OBS: 56530.4 z NULL  118.340 26.801 -10.183 0.246
OBS: 56536.5 z NULL  133.121 28.237 -10.311 0.230
OBS: 56541.3 z NULL  107.776 37.757 -10.081 0.380
OBS: 56544.3 z NULL  121.223 29.831 -10.209 0.267
OBS: 56549.3 z NULL  90.530 28.817 -9.892 0.346
OBS: 56557.5 z NULL  83.735 31.226 -9.807 0.405
OBS: 56570.3 z NULL  79.074 32.168 -9.745 0.442
OBS: 56584.3 z NULL  70.420 30.703 -9.619 0.473
OBS: 56589.3 z NULL  90.399 31.048 -9.890 0.373
OBS: 56592.3 z NULL  85.764 28.631 -9.833 0.362
OBS: 56595.2 z NULL  44.532 26.056 -9.122 0.635
OBS: 56600.3 z NULL  89.000 31.575 -9.873 0.385
OBS: 56613.3 z NULL  83.463 28.597 -9.804 0.372
OBS: 56628.2 z NULL  58.571 34.699 -9.419 0.643
